Club,Email
(ACM) Association for Computer Machinery ,cseclub@nd.edu
(AIAA) American Institute of Aeronautics and Astronautics,aiaa@nd.edu
(AICHe) American Institute of Chemical Engineers,aiche@nd.edu
(ASCE) American Society of Civil Engineers ,asce@nd.edu
(ASME) American Society of Mechanical Engineers ,ndasme@nd.edu
(EES) Environmental Engineering Society of Notre Dame,Joseph.C.Jared.1@nd.edu
(EWB) Engineers Without Borders,ewbnd@nd.edu
(IEEE) Institute of Electrical Engineers,ieee@nd.edu
(HES): Hispanic Engineers and Scientists,maesshpe@nd.edu
(NSBE) National Society of Black Engineers,dwolff1@nd.edu
(SAE / BAJA) Society of Automative Engineers,beiswert@nd.edu
(SWE) Society of Women Engineers,swe@nd.edu 
ND SEED,ndseed@nd.edu
